Name,AdminNo,Class,GPA,ModuleCode,ModuleName,CreditUnit,StudentMark
Dkrbqy,p2340000,DIT/FT/1B/07,4.0,ST0506,SEP,7,83
,,,,ST0509,JPRG,6,87
,,,,
Hqvdak,p2340001,DIT/FT/1B/11,2.91,ST0525,DBS,5,82
,,,,ST0509,JPRG,6,66
,,,,
Ixhibi,p2340002,DIT/FT/1B/04,2.5,ST0503,FOP,5,66
,,,,ST0503,FOP,5,75
,,,,
Rkswke,p2340003,DIT/FT/1B/08,3.36,ST0509,JPRG,7,77
,,,,ST0506,SEP,4,88
,,,,
Bwzxku,p2340004,DIT/FT/1B/15,3.0,ST0506,SEP,4,61
,,,,ST0506,SEP,4,89
,,,,
Kvnddn,p2340005,DIT/FT/1B/11,3.09,ST0509,JPRG,5,63
,,,,ST0506,SEP,6,86
,,,,
Wyfjhw,p2340006,DIT/FT/1B/04,4.0,ST0506,SEP,5,86
,,,,ST0506,SEP,6,86
,,,,
Hjwwkp,p2340007,DIT/FT/1B/01,2.42,ST0525,DBS,5,76
,,,,ST0525,DBS,7,64
,,,,
Bnodsk,p2340008,DIT/FT/1B/02,3.0,ST0503,FOP,7,87
,,,,ST0506,SEP,7,68
,,,,
Mtnirz,p2340009,DIT/FT/1B/04,2.45,ST0503,FOP,5,71
,,,,ST0509,JPRG,6,63
,,,,
Oyurkj,p2340010,DIT/FT/1B/03,2.42,ST0503,FOP,7,63
,,,,ST0525,DBS,5,70
,,,,
Tbjagy,p2340011,DIT/FT/1B/09,2.44,ST0525,DBS,4,73
,,,,ST0506,SEP,5,61
,,,,
Ncqdpl,p2340012,DIT/FT/1B/13,3.0,ST0506,SEP,5,78
,,,,ST0525,DBS,7,72
,,,,
Avaupu,p2340013,DIT/FT/1B/03,3.0,ST0506,SEP,5,75
,,,,ST0503,FOP,5,78
,,,,
Yoecfv,p2340014,DIT/FT/1B/10,3.0,ST0506,SEP,7,76
,,,,ST0503,FOP,6,78
,,,,
Zzqrqv,p2340015,DIT/FT/1B/10,3.55,ST0503,FOP,6,88
,,,,ST0509,JPRG,5,70
,,,,
Nhsbsb,p2340016,DIT/FT/1B/11,3.58,ST0509,JPRG,7,82
,,,,ST0503,FOP,5,74
,,,,
Lvwqdv,p2340017,DIT/FT/1B/02,3.09,ST0506,SEP,5,66
,,,,ST0525,DBS,6,88
,,,,
Kpljvs,p2340018,DIT/FT/1B/01,3.5,ST0506,SEP,4,81
,,,,ST0503,FOP,4,70
,,,,
Ilbtpw,p2340019,DIT/FT/1B/05,3.36,ST0525,DBS,4,88
,,,,ST0506,SEP,7,72
,,,,
Vfiyvb,p2340020,DIT/FT/1B/12,3.5,ST0503,FOP,4,83
,,,,ST0525,DBS,4,76
,,,,
Hcmbit,p2340021,DIT/FT/1B/11,3.0,ST0509,JPRG,6,73
,,,,ST0525,DBS,6,71
,,,,
Vpjodk,p2340022,DIT/FT/1B/11,3.0,ST0509,JPRG,4,86
